item_id,name,description
HP-200,Hydraulic Pump,hydraulic pump for industrial press lines
PS-10,Pressure Sensor,high precision pressure sensor for pipelines
TC-IR,Thermal Camera,infrared thermal camera for inspection
BR-6205,Bearing,deep groove ball bearing for motors
CB-3M,Conveyor Belt,conveyor belt for assembly lines
PLC-X1,PLC Controller,programmable logic controller for automation
FM-100,Flow Meter,electromagnetic flow meter for liquids
VA-24,Valve Actuator,electric valve actuator 24V
PSU-12,Power Supply,12V stabilized power supply
LDS-50,Laser Distance Sensor,laser distance sensor up to 50m
